ID,Cod_via,Nombre,Responsable,Cat_1,Cat_2,Cat_3,Cat_4,Cat_5,Cat_6,Cat_7,Cat_8,Cat_9,Sector,Admon,Eje_adicio,Eje_adic_2,d_cat_i,d_cat_ii,d_cat_iii,d_cat_iv,d_cat_v,d_cat_vi,d_cat_vii,d_cat_viii,d_cat_ix,Latitud,Longitud,Departamento,gcd_departamento
40,5501,ALBARRACIN,ConcesiOn ANI,8000,8900,23000,28500,33500,0,0,0,0,ChocontA - Tunja,ConcesiOn Briceno - Tunja - Sogamoso,8200,6800,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,,,,,5.29046083,-73.583519181,Cundinamarca,25
41,6206,CISNEROS,ConcesiOn ANI,8300,8900,8900,8900,18800,23900,27000,0,0,Cisneros - Alto de Dolores,ConcesiOn VIas del Nus – VINUS S.A.S,8700,8400,AutomOviles y camperos,CategorIa II Camiones y Buses 2 Ejes pequenos,CategorIa III - Camiones y Buses 2 Ejes grandes,CategorIa IV - 3 y 4 ejes,CategorIa V - 5 ejes,CategorIa VI,CategorIa VII,,,6.536330315,-75.0747773819999,Antioquia, 5
42,6206,PUERTO BERRIO,ConcesiOn ANI,8500,9300,19500,24800,27900,0,0,0,0,Cisneros - Puerto BerrIo (Incluye el Puente sobre el RIo Magdalena),ConcesiOn Autopistas del RIo Magdalena,8700,8400,AutomOviles y camperos,Camiones y Buses 2 Ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 ejes,,,,,6.496649662,-74.501328246,Antioquia, 5
43,29CL03-1,PAVAS (TRINIDAD I),ConcesiOn ANI,10400,12600,12600,12600,30700,38400,44600,0,0,Club Campestre - La Trinidad,CONCESION AUTOPISTAS DEL CAFE,0,0,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 Ejes,CategorIa VI 6 ejes,CategorIa VII,,,5.027053239,-75.5873912219999,Caldas,17
44,X4,CEBALLOS,Distrito,2500,4100,0,9600,14800,0,0,0,0,Corredor de Carga,CONVIAL,0,0,,,,,,,,,,10.3830161049999,-75.505922182,BolIvar,13
"45,9004,CAIMANERA,ConcesiOn ANI,12300,18200,18200,18200,19500,28300,28400,0,0,Covenas  - San Onofre,ConcesiOn Ruta al Mar,0,0,""AutomOviles, camperos y camionetas"",Buses,Camiones pequenos de 2 ejes,Camiones grandes de 2 ejes,Camiones de 3 y 4 ejes,Camiones 5 ejes,Camiones 6 ejes,,,9.46567699999999,-75.6065059999999,Sucre,70"
46,4001,LOBOGUERRERO,INVIAS,8000,9000,21500,28200,32100,0,0,0,0,Cruce Ruta 40 (Loboguerrero) - Buga,CONSORCIO NQS,9800,20800,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,,,,,3.762970321,-76.6655705999999,Valle del Cauca,76
47,6602,LA GOMEZ,INVIAS,10500,13300,31200,37400,43900,0,0,0,0,Cruce Ruta 45 (La Fortuna) - Lebrija,INVIAS,9500,9300,AutomOviles y camperos,Camiones y Buses 2 ejes Pequenos.,3 ejes.,4 ejes.,5 ejes.,,,,,7.397175967,-73.546519196,Santander,68
48,6602,RIO SOGAMOSO,ConcesiOn ANI,8500,9300,19500,24800,27900,0,0,0,0,Cruce Ruta 45 (La Fortuna) - Lebrija,RUTA DEL CACAO,8700,8400,AutomOviles y camperos,Camiones y Buses 2 ejes Pequenos,Camiones y Buses 2 Ejes Grandes,3 y  4 ejes,5 ejes,,,,,7.118249043,-73.4405437559999,Santander,68
49,9005,GAMBOTE,ConcesiOn ANI,8000,8900,19800,26400,30200,0,0,0,0,Cruz del Viso - Cartagena,Ruta Caribe,8700,8400,AutomOviles y camperos,Camiones y Buses 2 ejes Pequenos,Camiones y Buses 2 ejes Grandes,3 y 4 Ejes,5 Ejes,,,,,10.136133126,-75.2642897559999,BolIvar,13
