No.,SiglaProyecto,NombreProyecto,NombreEstacionPeaje, 2016Ene , 2016Feb , 2016Mar , 2016Abr , 2016May , 2016Jun , 2016Jul , 2016Ago , 2016Sep , 2016Oct , 2016Nov , 2016Dic , 2017Ene , 2017Feb , 2017Mar , 2017Abr , 2017May , 2017Jun , 2017Jul , 2017Ago , 2017Sep , 2017Oct , 2017Nov , 2017Dic , 2018Ene , 2018Feb , 2018Mar , 2018Abr , 2018May , 2018Jun , 2018Jul , 2018Ago , 2018Sept , 2018Oct , 2018Nov , 2018Dic 
36,SMP,SANTA MARTA-RIOHACHA-PARAGUACHoN,NEGUANJE,138334,80663,106330,76665,83430,87445,98729,94514,81026,87771,87154,109153,4680.25806451613,3005.64285714286,3031.09677419355,3577.56666666667,2898.87096774194,3197.33333333333,3406.87096774194,3156,2817.3,3180.90322580645,3139.4,3857.06451612903,152394,87451,119406,97084,92582,101627,119640,115612,98122,102014,103792,129463
37,SMP,SANTA MARTA-RIOHACHA-PARAGUACHoN,PARAGUACHON,29217,29308,33678,32501,35310,35470,43485,51105,52437,56258,56877,61276,1930.32258064516,1938.17857142857,1828.51612903226,1817.2,1720.29032258065,1751.9,1987.58064516129,2271.25806451613,2296.66666666667,2299.64516129032,2425.96666666667,2884.48387096774,77902,63791,59363,58706,53101,52875,64956,64174,61102,64745,65382,89188
38,MVC,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,CENCAR,193386,187246,192522,182076,191077,189967,194543,196328,187201,190355,189018,214907,5980.35483870968,6208.28571428572,6166.09677419355,5994.63333333333,6095.45161290323,6370.23333333333,6155.16129032258,6160.58064516129,5829.86666666667,5704.16129032258,6004.73333333333,6586.48387096774,177434,163238,181611,176809,184195,183256,188432,193895,187396,195956,0,0
39,MVC,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,CERRITO,478917,371470,441557,378349,412094,401170,450448,450908,406256,437743,432429,516584,15957.064516129,13686.3214285714,13625.6451612903,15229.7333333333,13285.3225806452,14443.2666666667,15297.8387096774,14964.1935483871,14092.1,14595.2580645161,14713.1666666667,17401.7096774194,513915,393678,477566,429964,425268,448723,486448,474464,436729,469474,0,0
40,MVC,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,CIAT,290790,263613,284751,275667,291319,287072,306187,307524,292953,305690,303109,350669,10253.1612903226,10019.9642857143,9962.90322580645,9843.03333333333,10310.9032258065,10223,10369.4516129032,10311.6774193548,10010.3333333333,10047.7096774194,10282.4666666667,11662.9677419355,323527,286893,313297,310079,318460,311339,325536,329820,314719,330766,0,0
41,MVC,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,ESTAMBUL,425420,395937,425982,412043,439171,444898,482301,468952,444007,462926,462372,524790,15189.2258064516,14917.8928571429,15067.7741935484,14948.7666666667,15083.0967741936,15555.6,15790.5483870968,15643.5483870968,14505.4333333333,14171.8064516129,14937.2666666667,16874.3225806452,469229,423858,472464,452376,467533,460400,488886,487530,462452,489194,0,0
42,MVC,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,MEDIACANOA,247748,200820,236395,202887,218899,198428,211955,238032,211373,227279,222578,232527,7612.54838709677,6868.17857142857,6713.32258064516,7136.66666666667,6304.25806451613,7069.03333333333,7470.35483870968,7225.1935483871,6710,6959.09677419355,7089.33333333333,7211.67741935484,229284,190692,222354,201573,201855,208400,227783,228275,203337,216892,0,0
43,MVC,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,PASO DE LA TORRE,25437,22339,24585,24152,25983,26254,29884,26939,26701,27635,25843,30527,909.677419354839,875.5,859.354838709677,911.366666666667,844.741935483871,911.7,946.354838709677,884.903225806452,857.733333333333,892.806451612903,926.3,1078.77419354839,28642,26527,30714,30514,27657,27886,29668,29391,27646,29843,0,0
44,MVC,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,ROZO,118214,95641,109865,98059,108318,107063,121019,114292,104970,111438,110209,128032,3952.25806451613,3493.17857142857,3565.90322580645,3781.66666666667,3608.32258064516,3803.06666666667,3935.83870967742,3824.45161290323,3579.83333333333,3691.1935483871,3849.9,4327.1935483871,126205,100832,116331,110936,109066,112361,121203,118181,109342,117288,0,0
45,MVC,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,TUNIA,239447,183591,226546,186438,201084,133276,214002,225164,199745,212793,214318,246716,7992.25806451613,6510.71428571429,6464.70967741936,7554.4,6584.96774193548,7119.73333333333,7619.8064516129,7356.03225806452,6826.4,6705.09677419355,6035.76666666667,8281.1935483871,257357,185831,235556,214390,208193,218417,241636,229114,211439,228591,0,0
46,MVC,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,VILLARICA,330247,272409,321510,277106,295280,237760,318263,330214,300347,316619,316328,364238,11275.1290322581,9744.10714285714,9684.70967741935,10781.0333333333,9892.93548387097,10476.8666666667,10992.935483871,10784.0322580645,10255.7,10199.5806451613,9200.56666666667,12101.2258064516,362643,280022,343165,317608,315641,322113,351726,341067,320338,342988,0,0
47,AMC,AREA METROPOLITANA DE CUCUTA Y NORTE DE SANTANDER,EL ESCOBAL,66963,71955,71917,75100,75916,71642,79769,87755,93932,95902,92443,101253,2857.48387096774,3123.10714285714,3169,2995.56666666667,2971.64516129032,3011.46666666667,3114.87096774194,3276,3421.3,3398.74193548387,3413.2,3630.32258064516,93452,96997,108377,109868,109740,106294,114685,118786,116398,121039,121283,137281
48,AMC,AREA METROPOLITANA DE CUCUTA Y NORTE DE SANTANDER,LA PARADA,332881,343622,355894,366972,374540,352280,381386,418040,457070,453551,431108,462565,13189.2580645161,14590.4285714286,14789.5806451613,13678.7333333333,13983,14010.0333333333,14441.3225806452,15249.1612903226,15600.9666666667,14901,15647.3666666667,17109.3225806452,454683,454425,487234,498338,511312,486228,515520,534735,544885,552355,541036,611385
49,AMC,AREA METROPOLITANA DE CUCUTA Y NORTE DE SANTANDER,LOS ACACIOS,190052,148877,183403,151553,172970,164165,174848,181082,160725,177569,164662,187561,6223.83870967742,5382.92857142857,5313.51612903226,6157.73333333333,5559.35483870968,5910.83333333333,5997.74193548387,5935.09677419355,5546.23333333333,5963.22580645161,5897.5,6386.45161290323,207255,152652,198849,173194,175876,186892,203968,206199,186508,187477,182471,216634
50,BGG,BOGOTA (BOSA) - GRANADA - GIRARDOT S.A.,CHINAUTA,753404,451194,608688,456602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,BGG,BOGOTA (BOSA) - GRANADA - GIRARDOT S.A.,CHUSACA,901913,578198,758332,589225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,BTS,BRICEÑO - TUNJA - SOGAMOSO,ALBARRACIN,411188,280997,377069,283988,339126,314921,299591,350355,305016,354488,337603,469466,13855.4193548387,10384.4285714286,10548.2580645161,12537.3666666667,10835.4193548387,11812.5333333333,12167.9677419355,11928.3225806452,10289.3,11733.9032258065,11710.9,16692.0322580645,117298,84119,102185,87193,91424,91598,94288,91648,89153,98941,98799,114978
53,BTS,BRICEÑO - TUNJA - SOGAMOSO,EL ROBLE,598914,428277,549605,431198,500518,473836,468375,508969,455449,526809,506297,657040,20133.5806451613,15782.25,15929.6774193548,18497.9666666667,16365.1935483871,17618.1333333333,18023.9032258065,17654.5806451613,15716.1,17569.6129032258,17596.7666666667,23189.7741935484,650287,455763,591471,497772,514603,566983,592646,582742,520042,577706,573343,777778
54,BTS,BRICEÑO - TUNJA - SOGAMOSO,TUTA,429577,327420,391400,335927,370244,351435,298344,385503,348838,387402,372255,469794,14113.7419354839,11866.2142857143,11936.2258064516,13039.6666666667,12122.064516129,12801.4666666667,13005.3225806452,12689.1935483871,11921.3,12765.9032258065,12922.3,16214.8064516129,460916,342177,410338,370527,385147,405375,428274,422143,388911,419903,417536,541955
55,CS,CoRDOBA - SUCRE,LA ESPERANZA,0,0,0,43156,102925,102506,109456,103542,96451,99274,94462,111557,4032.70967741936,3045.42857142857,3196.61290322581,3758.3,3197.32258064516,3354.1,3415.48387096774,3313.45161290323,3332.56666666667,3379.54838709677,3345,3853.90322580645,134234,91874,112953,102991,97460,92965,108550,102825,95881,103128,100076,120453
